text_a,text_b,label,cosine_similarity,token_jaccard,containment,length_ratio,shared_ngrams,char_jaccard,token_overlap
"Technology is changing the modern classroom. Technology is changing the modern classroom by improving access to information, digital collaboration, and personalized learning opportunities for students.","Technology is changing the modern classroom. Technology is changing the modern classroom by improving access to information, digital collaboration, and personalized learning opportunities for students.",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
technology changing modern classroom technology changing modern classroom by improving access to information digital collaboration and personalized learning opportunities students,"Technology is changing the modern classroom. Technology is changing the modern classroom by improving access to information, digital collaboration, and personalized learning opportunities for students.",1,1.0,0.842105,1.0,0.8,0.521739,0.695402,1.0
the modern classroom technology is changing the modern classroom,"Technology is changing the modern classroom. Technology is changing the modern classroom by improving access to information, digital collaboration, and personalized learning opportunities for students.",1,0.502593,0.315789,1.0,0.36,0.315789,0.259494,1.0
"Technology is changing the modern classroom. Technology is changing the modern classroom by improving access to information, digital collaboration, and personalized learning opportunities for students.","The internet has revolutionized communication. The internet has revolutionized communication by connecting people worldwide, enabling instant messaging, and providing access to vast amounts of information.",0,0.156002,0.181818,0.315789,1.0,0.0,0.083045,0.315789
technology changing modern classroom technology changing modern classroom improving access information digital collaboration personalized learning opportunities students,Water conservation preserves natural resources. Efficient systems reduce waste and support agricultural sustainability.,0,0.0,0.0,0.0,0.764706,0.0,0.016736,0.0
"Artificial intelligence is transforming industries. AI is transforming industries by automating tasks, analyzing data, and enabling smarter decision-making processes.","Artificial intelligence is transforming industries. AI is transforming industries by automating tasks, analyzing data, and enabling smarter decision-making processes.",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial intelligence is transforming industries ai transforming industries by automating tasks analyzing data and enabling smarter decision making processes,"Artificial intelligence is transforming industries. AI is transforming industries by automating tasks, analyzing data, and enabling smarter decision-making processes.",1,1.0,1.0,1.0,0.95,0.789474,0.727848,1.0
is transforming industries ai is transforming industries by automating tasks analyzing data,"Artificial intelligence is transforming industries. AI is transforming industries by automating tasks, analyzing data, and enabling smarter decision-making processes.",1,0.518395,0.529412,1.0,0.6,0.529412,0.390411,1.0
"Artificial intelligence is transforming industries. AI is transforming industries by automating tasks, analyzing data, and enabling smarter decision-making processes.",Ocean plastic pollution threatens marine life. Microplastics accumulate in ecosystems and food chains globally.,0,0.0,0.033333,0.071429,0.7,0.0,0.004132,0.071429
artificial intelligence is transforming industries ai transforming industries automating tasks analyzing data enabling smarter decision making processes,Grid modernization supports renewable integration. Smart grids balance variable renewable energy sources efficiently.,0,0.0,0.0,0.0,0.764706,0.0,0.013216,0.0
Climate change is a pressing global issue. Climate change is a pressing global issue that requires immediate action to reduce carbon emissions and promote sustainable practices.,Climate change is a pressing global issue. Climate change is a pressing global issue that requires immediate action to reduce carbon emissions and promote sustainable practices.,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate change is pressing global issue climate change is a pressing global issue requires immediate action to reduce carbon emissions promote sustainable practices,Climate change is a pressing global issue. Climate change is a pressing global issue that requires immediate action to reduce carbon emissions and promote sustainable practices.,1,1.0,0.894737,1.0,0.884615,0.52,0.777027,1.0
pressing global issue climate change is a pressing global issue that requires immediate,Climate change is a pressing global issue. Climate change is a pressing global issue that requires immediate action to reduce carbon emissions and promote sustainable practices.,1,0.782496,0.526316,1.0,0.5,0.526316,0.446043,1.0
Climate change is a pressing global issue. Climate change is a pressing global issue that requires immediate action to reduce carbon emissions and promote sustainable practices.,Soil biology enhances fertility. Microbial communities improve nutrient availability.,0,0.0,0.0,0.0,0.346154,0.0,0.004673,0.0
climate change a pressing global issue climate change a pressing global issue requires immediate action reduce carbon emissions promote sustainable practices,Coral bleaching signals ecosystem distress. Temperature changes cause symbiotic collapse.,0,0.0,0.0,0.0,0.47619,0.0,0.020101,0.0
"The internet has revolutionized communication. The internet has revolutionized communication by connecting people worldwide, enabling instant messaging, and providing access to vast amounts of information.","The internet has revolutionized communication. The internet has revolutionized communication by connecting people worldwide, enabling instant messaging, and providing access to vast amounts of information.",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
internet has revolutionized communication internet has revolutionized communication connecting people worldwide enabling instant messaging providing access vast amounts information,"The internet has revolutionized communication. The internet has revolutionized communication by connecting people worldwide, enabling instant messaging, and providing access to vast amounts of information.",1,1.0,0.75,1.0,0.76,0.206897,0.661017,1.0
has revolutionized communication the internet has revolutionized communication by connecting people worldwide enabling instant messaging,"The internet has revolutionized communication. The internet has revolutionized communication by connecting people worldwide, enabling instant messaging, and providing access to vast amounts of information.",1,0.830324,0.6,1.0,0.6,0.6,0.581818,1.0
"The internet has revolutionized communication. The internet has revolutionized communication by connecting people worldwide, enabling instant messaging, and providing access to vast amounts of information.",Internet commerce reshapes retail landscapes. Online shopping changes consumer expectations and business models.,0,0.220903,0.064516,0.153846,0.52,0.0,0.031008,0.153846
internet has revolutionized communication the internet has revolutionized communication connecting people worldwide enabling instant messaging providing access vast amounts of information,Carbon reduction requires behavior change. Personal and organizational actions reduce footprints.,0,0.0,0.0,0.0,0.52381,0.0,0.008772,0.0
"Exercise is essential for a healthy lifestyle. Regular exercise is essential for maintaining a healthy lifestyle, improving physical fitness, and reducing the risk of chronic diseases.","Exercise is essential for a healthy lifestyle. Regular exercise is essential for maintaining a healthy lifestyle, improving physical fitness, and reducing the risk of chronic diseases.",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exercise essential a healthy lifestyle regular exercise essential maintaining a healthy lifestyle improving physical fitness and reducing the risk chronic diseases,"Exercise is essential for a healthy lifestyle. Regular exercise is essential for maintaining a healthy lifestyle, improving physical fitness, and reducing the risk of chronic diseases.",1,1.0,0.842105,1.0,0.807692,0.392857,0.630303,1.0
exercise is essential for a healthy lifestyle regular exercise is essential for maintaining a healthy lifestyle improving physical fitness and reducing the risk of chronic,"Exercise is essential for a healthy lifestyle. Regular exercise is essential for maintaining a healthy lifestyle, improving physical fitness, and reducing the risk of chronic diseases.",1,0.816497,0.947368,1.0,0.961538,0.952381,0.764706,1.0
"Exercise is essential for a healthy lifestyle. Regular exercise is essential for maintaining a healthy lifestyle, improving physical fitness, and reducing the risk of chronic diseases.",Translation services bridge language gaps. AI-powered tools facilitate international communication effectively.,0,0.0,0.0,0.0,0.461538,0.0,0.0,0.0
